2026-03-29 16:55:26 | train | INFO | === Training: ae | d=2 | pbmc3k | device=cpu | loss=mse | seed=42 ===
2026-03-29 16:55:32 | train | INFO |   Saved history to results/datasets/pbmc3k/tables/history_pbmc3k_ae_d2_mse.json
2026-03-29 16:55:32 | train | INFO | === Training complete ===
2026-03-29 16:56:39 | train | INFO | === Training: ae | d=2 | pbmc3k | device=cpu | loss=mse | seed=42 ===
2026-03-29 16:56:39 | src.data.preprocessor | INFO |   Loaded processed data (in_memory): 2700 × 2000
2026-03-29 16:56:39 | src.data.dataset | INFO |   Split: train=2160, val=270, test=270
2026-03-29 16:56:39 | src.data.dataset | INFO |   DataLoaders: train=2160, val=270, test=270, batch_size=256, layer=X, num_workers=0, pin_memory=False, preload=True
2026-03-29 16:56:42 | src.training.trainer | INFO |   TensorBoard logging to: logs/tensorboard/train_20260329T145639Z/pbmc3k_ae_d2_mse
2026-03-29 16:56:42 | src.training.trainer | INFO |   Training AE (d=2, loss=mse) on cpu for up to 3 epochs
2026-03-29 16:56:44 | src.training.trainer | INFO |     Epoch   1: train=0.414408, val=0.391391
2026-03-29 16:56:45 | src.training.trainer | INFO |     Epoch   2: train=0.375365, val=0.341074
2026-03-29 16:56:47 | src.training.trainer | INFO |     Epoch   3: train=0.323289, val=0.293148
2026-03-29 16:56:47 | src.training.trainer | INFO |   Training complete in 5.6s. Best val loss: 0.293148 (epoch 3)
2026-03-29 16:56:48 | train | INFO |   Saved history to results/datasets/pbmc3k/tables/history_pbmc3k_ae_d2_mse.json
2026-03-29 16:56:48 | train | INFO | === Training complete ===
