dataset,model_loss,latent_dim,mean_reconstruction_loss,mean_score,n
aifi_immune_full,scvi:nb,4,411.1045227050781,0.3415165431753761,1
aifi_immune_full,scvi:nb,6,408.420654296875,0.2827833219341319,1
aifi_immune_full,scvi:nb,8,405.8837585449219,0.3106636229031857,2
aifi_immune_full,scvi:nb,10,402.9953002929688,0.3287619638927829,1
aifi_immune_full,scvi:nb,12,401.7992858886719,0.3163534608231159,1
aifi_immune_full,scvi:nb,16,397.2705993652344,0.3023051935951952,2
aifi_immune_full,scvi:nb,24,392.2877655029297,0.2981771962496147,2
aifi_immune_full,scvi:nb,32,387.8069610595703,0.3014755644993896,2
paul15,ae:mse,2,0.5465464586885567,0.30364529821252356,3
paul15,ae:mse,4,0.5358515059409416,0.33081209977392984,3
paul15,ae:mse,6,0.5316795589577438,0.34101891757463193,3
paul15,ae:mse,8,0.5291617482864232,0.31664652562303375,3
paul15,ae:mse,10,0.530013182952145,0.3107753978459798,3
paul15,ae:mse,12,0.5286068951253925,0.33315682912423367,3
paul15,ae:mse,16,0.5292649459780646,0.30251163737479864,3
paul15,ae:mse,20,0.5292007385301648,0.3245397078358439,3
paul15,ae:mse,24,0.5297782086336279,0.29772302297570835,3
paul15,ae:mse,32,0.5287571393672073,0.3219488076959368,3
paul15,ae:mse,48,0.5287985285705408,0.34246253201526106,3
paul15,ae:mse,64,0.5285620058412517,0.3212574378678362,3
paul15,ae:nb,2,0.6546938864011613,0.20967054942158528,3
paul15,ae:nb,4,0.653216237040812,0.23558467888195747,3
paul15,ae:nb,6,0.6568932969200451,0.22485495880183323,3
paul15,ae:nb,8,0.6543261588565886,0.25149520424794275,3
paul15,ae:nb,10,0.6550631210189745,0.24602207307562204,3
paul15,ae:nb,12,0.6554092865287166,0.21852405029975838,3
paul15,ae:nb,16,0.6571787940713513,0.23327378333333948,3
paul15,ae:nb,20,0.6577821857181079,0.2555579338911595,3
paul15,ae:nb,24,0.6576441963804802,0.25749641143683405,3
paul15,ae:nb,32,0.6566431614796612,0.23528543039803204,3
paul15,ae:nb,48,0.6548172212200142,0.25717373959892353,3
paul15,ae:nb,64,0.6545923532001555,0.2554967845699429,3
paul15,ae:zinb,2,0.6509755362957825,0.20368244205826144,3
paul15,ae:zinb,4,0.6493913189249889,0.2239902989809197,3
paul15,ae:zinb,6,0.6526027081650255,0.2387203445800531,3
paul15,ae:zinb,8,0.6529467265975636,0.24262686718368917,3
paul15,ae:zinb,10,0.6528315473534394,0.2383168961808827,3
paul15,ae:zinb,12,0.6532014378406772,0.23417829960649814,3
paul15,ae:zinb,16,0.6531467597854298,0.24922422699319893,3
paul15,ae:zinb,20,0.6550675358382191,0.22835531962847844,3
paul15,ae:zinb,24,0.6538535144739536,0.2379597808693141,3
paul15,ae:zinb,32,0.6549208647456651,0.23499944246846236,3
paul15,ae:zinb,48,0.6544537077747713,0.2428963965303583,3
paul15,ae:zinb,64,0.65393303704058,0.2352831795643722,3
paul15,scvi:nb,2,1262.5048421223958,0.40404907182634875,3
paul15,scvi:nb,4,1256.155517578125,0.3372407785343305,3
paul15,scvi:nb,6,1254.0667317708333,0.36036272201434033,3
paul15,scvi:nb,8,1253.4163411458333,0.3086696083928024,3
paul15,scvi:nb,10,1252.3374430338542,0.3047372804152914,3
paul15,scvi:nb,12,1252.1643880208333,0.3344535509840678,3
paul15,scvi:nb,16,1251.4205322265625,0.31582428427686465,3
paul15,scvi:nb,20,1251.4276123046875,0.3240805237278381,3
paul15,scvi:nb,24,1251.3092447916667,0.2961647125478129,3
paul15,scvi:nb,32,1251.6034342447917,0.3293372497207568,3
paul15,scvi:nb,48,1251.9282633463542,0.3203159437763296,3
paul15,scvi:nb,64,1252.4071858723958,0.3144728142980571,3
paul15,scvi:zinb,2,1261.3479817708333,0.4020591430463618,3
paul15,scvi:zinb,4,1255.6512858072917,0.3394947854554647,3
paul15,scvi:zinb,6,1254.1006266276042,0.31998434227590883,3
paul15,scvi:zinb,8,1253.1551106770833,0.34092777707876687,3
paul15,scvi:zinb,10,1252.2246907552083,0.29361740955200005,3
paul15,scvi:zinb,12,1252.0954182942708,0.2968555684868793,3
paul15,scvi:zinb,16,1251.8578694661458,0.3174342475439895,3
paul15,scvi:zinb,20,1251.7941080729167,0.3379771462825243,3
paul15,scvi:zinb,24,1251.9845784505208,0.3352943121636331,3
paul15,scvi:zinb,32,1251.35009765625,0.3165914511459487,3
paul15,scvi:zinb,48,1251.7458902994792,0.3103418485271042,3
paul15,scvi:zinb,64,1252.2925618489583,0.3192947146268705,3
paul15,vae:mse,2,0.6649795201526311,0.016355943400385667,3
paul15,vae:mse,4,0.6649381548930436,0.0160400362249051,3
paul15,vae:mse,6,0.6648205517266987,0.014478719373290498,3
paul15,vae:mse,8,0.6656965808408456,0.012740641048617668,3
paul15,vae:mse,10,0.6663413253750411,0.013753994447085867,3
paul15,vae:mse,12,0.6667368593961182,0.0153733184959561,3
paul15,vae:mse,16,0.6658135595775786,0.008409915231211132,3
paul15,vae:mse,20,0.6674212779899801,0.00928037612487726,3
paul15,vae:mse,24,0.6676043225440932,0.007824552218337767,3
paul15,vae:mse,32,0.6686637140310147,0.020509312332571635,3
paul15,vae:mse,48,0.666989776241037,0.014401433234767965,3
paul15,vae:mse,64,0.6680104768174328,0.013839485703893033,3
paul15,vae:nb,2,0.6617031095956563,0.23599004209308339,3
paul15,vae:nb,4,0.6499739942096528,0.3035081335067514,3
paul15,vae:nb,6,0.6506977207203634,0.2866436301873392,3
paul15,vae:nb,8,0.6476987891435915,0.29020556290503524,3
paul15,vae:nb,10,0.6493790387670636,0.30436444454766565,3
paul15,vae:nb,12,0.6488856355203668,0.31107050910188855,3
paul15,vae:nb,16,0.6497931112882127,0.2880616290554601,3
paul15,vae:nb,20,0.6493985842872453,0.32358622497160683,3
paul15,vae:nb,24,0.6493046475854113,0.32518015060488165,3
paul15,vae:nb,32,0.6483556760682,0.2877008238099416,3
paul15,vae:nb,48,0.6498883270518684,0.29811902544643215,3
paul15,vae:nb,64,0.6490870605021606,0.304231024071653,3
paul15,vae:zinb,2,0.6519544045275966,0.2556985835574825,3
paul15,vae:zinb,4,0.6483997535938454,0.30113037006485893,3
paul15,vae:zinb,6,0.6489159847644951,0.30661671791522305,3
paul15,vae:zinb,8,0.6484502257008256,0.31053639709080855,3
paul15,vae:zinb,10,0.6477719153822269,0.30758518358217285,3
paul15,vae:zinb,12,0.6477838876919869,0.3136026462424863,3
