dataset,model_loss,best_latent_dim,best_score
aifi_immune_full,scvi:nb,4,0.3415165431753761
paul15,ae:mse,48,0.34246253201526106
paul15,ae:nb,24,0.25749641143683405
paul15,ae:zinb,16,0.24922422699319893
paul15,scvi:nb,2,0.40404907182634875
paul15,scvi:zinb,2,0.4020591430463618
paul15,vae:mse,32,0.020509312332571635
paul15,vae:nb,24,0.32518015060488165
paul15,vae:zinb,64,0.3307984201961305
scvi_pbmc12k,ae:mse,16,0.6806592629523297
scvi_pbmc12k,ae:nb,32,0.6783935513789068
scvi_pbmc12k,scvi:nb,4,0.6662135919395632
scvi_pbmc12k,vae:mse,4,0.03090704236323745
scvi_pbmc12k,vae:nb,32,0.6814694216016282
ts1_all_cells,ae:nb,16,0.0078098258390874
ts1_all_cells,scvi:nb,10,0.2703901399451687
ts2_lung,scvi:nb,12,0.430245140388703
