dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans,report_scope,display_ds,model_loss
scvi_pbmc12k,ae,mse,9,16,ari,0.6806592629523297,0.6806592629523297,0.3907295018434524,primary,PBMC12k,ae:mse
scvi_pbmc12k,ae,nb,9,32,ari,0.6783935513789068,0.6783935513789068,0.3194421082735061,primary,PBMC12k,ae:nb
scvi_pbmc12k,scvi,nb,9,4,ari,0.6662135919395632,0.6662135919395632,0.407213807106018,primary,PBMC12k,scvi:nb
scvi_pbmc12k,vae,mse,9,4,ari,0.0309070423632374,0.0309070423632374,0.1953504979610442,primary,PBMC12k,vae:mse
scvi_pbmc12k,vae,nb,9,32,ari,0.6814694216016282,0.6814694216016282,0.3801954090595245,primary,PBMC12k,vae:nb
paul15,ae,mse,19,48,ari,0.342462532015261,0.342462532015261,0.1870396534601847,primary,Paul15,ae:mse
paul15,ae,nb,19,24,ari,0.257496411436834,0.257496411436834,0.2609207779169082,primary,Paul15,ae:nb
paul15,ae,zinb,19,16,ari,0.2492242269931989,0.2492242269931989,0.2727896571159363,primary,Paul15,ae:zinb
paul15,scvi,nb,19,2,ari,0.4040490718263487,0.4040490718263487,0.3884666562080383,primary,Paul15,scvi:nb
paul15,scvi,zinb,19,2,ari,0.4020591430463618,0.4020591430463618,0.3919535378615061,primary,Paul15,scvi:zinb
paul15,vae,mse,19,32,ari,0.0205093123325716,0.0205093123325716,0.1230311493078867,primary,Paul15,vae:mse
paul15,vae,nb,19,24,ari,0.3251801506048816,0.3251801506048816,0.2131632715463638,primary,Paul15,vae:nb
paul15,vae,zinb,19,64,ari,0.3307984201961305,0.3307984201961305,0.239502986272176,primary,Paul15,vae:zinb
aifi_immune_full,scvi,nb,29,4,ari,0.3415165431753761,0.3415165431753761,0.2349282950162887,primary,AIFI Immune,scvi:nb
ts2_lung,scvi,nb,34,12,ari,0.430245140388703,0.430245140388703,0.2399705052375793,primary,TS2 Lung,scvi:nb
ts1_all_cells,ae,nb,177,16,ari,0.0078098258390874,0.0078098258390874,0.7006580829620361,primary,TS1 (Tabula Sapiens),ae:nb
ts1_all_cells,scvi,nb,177,10,ari,0.2703901399451687,0.2703901399451687,0.2041497677564621,primary,TS1 (Tabula Sapiens),scvi:nb
