dataset,model_loss,best_d,best_score
aifi_immune_full,scvi:nb,4,0.3415
paul15,ae:mse,48,0.3425
paul15,ae:nb,24,0.2575
paul15,ae:zinb,16,0.2492
paul15,scvi:nb,2,0.404
paul15,scvi:zinb,2,0.4021
paul15,vae:mse,32,0.0205
paul15,vae:nb,24,0.3252
paul15,vae:zinb,64,0.3308
scvi_pbmc12k,ae:mse,16,0.6807
scvi_pbmc12k,ae:nb,32,0.6784
scvi_pbmc12k,scvi:nb,4,0.6662
scvi_pbmc12k,vae:mse,4,0.0309
scvi_pbmc12k,vae:nb,32,0.6815
ts1_all_cells,ae:nb,16,0.0078
ts1_all_cells,scvi:nb,10,0.2704
ts2_lung,scvi:nb,12,0.4302
