dataset,model_loss,latent_dim,mean_ari,mean_sil,mean_batch_mixing,bio_score
aifi_immune_full,scvi:nb,4,0.3415165431753761,0.2349282950162887,0.1084829419851303,0.3415165431753761
aifi_immune_full,scvi:nb,6,0.2827833219341319,0.1755406260490417,0.079541765153408,0.2827833219341319
aifi_immune_full,scvi:nb,8,0.3106636229031857,0.1422904953360557,0.07134665921330445,0.3106636229031857
aifi_immune_full,scvi:nb,10,0.3287619638927829,0.1282230764627456,0.0626089870929718,0.3287619638927829
aifi_immune_full,scvi:nb,12,0.3163534608231159,0.1089364886283874,0.0505363307893276,0.3163534608231159
aifi_immune_full,scvi:nb,16,0.3023051935951952,0.08757403492927546,0.0464416872709989,0.3023051935951952
aifi_immune_full,scvi:nb,24,0.2981771962496147,0.05769696272909635,0.03619921207427975,0.2981771962496147
aifi_immune_full,scvi:nb,32,0.3014755644993896,0.0433784499764442,0.0345215760171413,0.3014755644993896
ts1_all_cells,scvi:nb,4,0.2387640297294938,0.2670044898986816,0.1857074201107025,0.2387640297294938
ts1_all_cells,scvi:nb,6,0.2643031220524316,0.238647311925888,0.1522765308618545,0.2643031220524316
ts1_all_cells,scvi:nb,8,0.2588351122293694,0.2126071006059646,0.1275544911623001,0.2588351122293694
ts1_all_cells,scvi:nb,10,0.2703901399451687,0.2041497677564621,0.1271806508302688,0.2703901399451687
ts1_all_cells,scvi:nb,12,0.2666423960120172,0.1921008825302124,0.104670725762844,0.2666423960120172
ts1_all_cells,scvi:nb,16,0.2601044298155168,0.171314001083374,0.0850901901721954,0.2601044298155168
ts2_lung,scvi:nb,4,0.3709785844589283,0.2893054783344269,0.019261710345745,0.3709785844589283
ts2_lung,scvi:nb,6,0.3834108191233905,0.2647777795791626,0.0122015653178095,0.3834108191233905
ts2_lung,scvi:nb,8,0.4126876232588801,0.24763733893632886,0.004573285579681299,0.4126876232588801
ts2_lung,scvi:nb,10,0.3998796504740608,0.2345775812864303,0.0052807484753429,0.3998796504740608
ts2_lung,scvi:nb,12,0.430245140388703,0.2399705052375793,0.0048509710468351,0.430245140388703
ts2_lung,scvi:nb,16,0.3895162910922433,0.2041765078902244,0.00081079883966595,0.3895162910922433
ts2_lung,scvi:nb,24,0.38796426594746836,0.19752522557973856,0.00046449642468360003,0.38796426594746836
ts2_lung,scvi:nb,32,0.38706357269832725,0.1896245032548904,-0.00049698777729645,0.38706357269832725
