dataset,model_loss,mean_ari,ci_2.5,ci_97.5,ci_width,n
aifi_immune_full,scvi:nb,0.3079,0.298,0.318,0.0199,12
paul15,ae:mse,0.3205,0.3129,0.3291,0.0162,36
paul15,ae:nb,0.24,0.2279,0.2525,0.0246,36
paul15,ae:zinb,0.2342,0.221,0.2471,0.0261,36
paul15,scvi:nb,0.3291,0.3171,0.3423,0.0252,36
paul15,scvi:zinb,0.3275,0.3145,0.3403,0.0258,36
paul15,vae:mse,0.0136,0.0115,0.0157,0.0042,36
paul15,vae:nb,0.2966,0.2847,0.3088,0.0241,36
paul15,vae:zinb,0.3046,0.2918,0.3168,0.025,36
scvi_pbmc12k,ae:mse,0.6603,0.6452,0.6754,0.0302,12
scvi_pbmc12k,ae:nb,0.6184,0.5814,0.6476,0.0662,12
scvi_pbmc12k,scvi:nb,0.5948,0.5616,0.628,0.0664,12
scvi_pbmc12k,vae:mse,0.0226,0.0142,0.0325,0.0183,12
scvi_pbmc12k,vae:nb,0.5958,0.5568,0.635,0.0782,12
ts1_all_cells,ae:nb,0.007,0.006,0.0077,0.0017,4
ts1_all_cells,scvi:nb,0.2616,0.2559,0.2667,0.0109,12
ts2_lung,scvi:nb,0.3949,0.3835,0.4068,0.0233,12
