dataset,model_a,model_b,n_pairs,mean_a,mean_b,mean_diff,cohens_d,wilcoxon_stat,p_value,significant_005
paul15,ae:mse,ae:nb,36,0.3205,0.24,0.0805,2.455,8.0,0.0,True
paul15,ae:mse,ae:zinb,36,0.3205,0.2342,0.0864,2.545,1.0,0.0,True
paul15,ae:mse,vae:mse,36,0.3205,0.0136,0.307,16.161,0.0,0.0,True
paul15,ae:nb,scvi:nb,36,0.24,0.3291,-0.0891,-2.28,6.0,0.0,True
paul15,ae:nb,scvi:zinb,36,0.24,0.3275,-0.0875,-2.218,1.0,0.0,True
paul15,ae:nb,vae:mse,36,0.24,0.0136,0.2265,8.228,0.0,0.0,True
paul15,ae:nb,vae:nb,36,0.24,0.2966,-0.0565,-1.474,0.0,0.0,True
paul15,ae:nb,vae:zinb,36,0.24,0.3046,-0.0646,-1.661,0.0,0.0,True
paul15,ae:zinb,scvi:nb,36,0.2342,0.3291,-0.095,-2.371,0.0,0.0,True
paul15,ae:zinb,scvi:zinb,36,0.2342,0.3275,-0.0933,-2.311,0.0,0.0,True
paul15,ae:zinb,vae:mse,36,0.2342,0.0136,0.2206,7.642,0.0,0.0,True
paul15,ae:zinb,vae:nb,36,0.2342,0.2966,-0.0624,-1.586,2.0,0.0,True
paul15,ae:zinb,vae:zinb,36,0.2342,0.3046,-0.0704,-1.768,0.0,0.0,True
paul15,scvi:nb,vae:mse,36,0.3291,0.0136,0.3156,11.066,0.0,0.0,True
paul15,scvi:zinb,vae:mse,36,0.3275,0.0136,0.3139,10.833,0.0,0.0,True
paul15,vae:mse,vae:nb,36,0.0136,0.2966,-0.283,-10.292,0.0,0.0,True
paul15,vae:mse,vae:zinb,36,0.0136,0.3046,-0.291,-10.319,0.0,0.0,True
paul15,ae:mse,vae:nb,36,0.3205,0.2966,0.024,0.732,127.0,0.000816,True
paul15,scvi:nb,vae:nb,36,0.3291,0.2966,0.0326,0.834,142.0,0.002079,True
paul15,scvi:nb,vae:zinb,36,0.3291,0.3046,0.0245,0.62,177.0,0.013288,True
paul15,scvi:zinb,vae:nb,36,0.3275,0.2966,0.0309,0.785,185.0,0.019181,True
paul15,ae:mse,vae:zinb,36,0.3205,0.3046,0.0159,0.478,187.0,0.02096,True
paul15,scvi:zinb,vae:zinb,36,0.3275,0.3046,0.0229,0.574,207.0,0.047779,True
paul15,vae:nb,vae:zinb,36,0.2966,0.3046,-0.008,-0.207,224.0,0.088404,False
paul15,ae:nb,ae:zinb,36,0.24,0.2342,0.0059,0.149,232.0,0.115152,False
paul15,ae:mse,scvi:nb,36,0.3205,0.3291,-0.0086,-0.256,272.0,0.346122,False
paul15,ae:mse,scvi:zinb,36,0.3205,0.3275,-0.0069,-0.204,291.0,0.518923,False
paul15,scvi:nb,scvi:zinb,36,0.3291,0.3275,0.0017,0.041,299.0,0.602815,False
scvi_pbmc12k,ae:mse,vae:mse,12,0.6603,0.0226,0.6377,28.109,0.0,0.000488,True
scvi_pbmc12k,ae:nb,vae:mse,12,0.6184,0.0226,0.5959,13.01,0.0,0.000488,True
scvi_pbmc12k,scvi:nb,vae:mse,12,0.5948,0.0226,0.5723,12.572,0.0,0.000488,True
scvi_pbmc12k,vae:mse,vae:nb,12,0.0226,0.5958,-0.5732,-11.15,0.0,0.000488,True
scvi_pbmc12k,ae:mse,ae:nb,12,0.6603,0.6184,0.0418,0.865,7.0,0.009277,True
scvi_pbmc12k,ae:mse,vae:nb,12,0.6603,0.5958,0.0645,1.2,7.0,0.009277,True
scvi_pbmc12k,ae:mse,scvi:nb,12,0.6603,0.5948,0.0654,1.36,11.0,0.026855,True
scvi_pbmc12k,ae:nb,scvi:nb,12,0.6184,0.5948,0.0236,0.378,28.0,0.423828,False
scvi_pbmc12k,ae:nb,vae:nb,12,0.6184,0.5958,0.0226,0.338,31.0,0.569336,False
scvi_pbmc12k,scvi:nb,vae:nb,12,0.5948,0.5958,-0.001,-0.015,39.0,1.0,False
