dataset,model_a,model_b,n_pairs,mean_diff,cohens_d,p_value,significant_005
paul15,ae:mse,ae:nb,36,-0.0521,-1.092,0.0,True
paul15,ae:mse,ae:zinb,36,-0.0657,-1.353,0.0,True
paul15,ae:mse,vae:mse,36,0.0489,0.809,0.0,True
paul15,ae:nb,scvi:nb,36,0.0654,1.186,0.0,True
paul15,ae:nb,scvi:zinb,36,0.0673,1.189,0.0,True
paul15,ae:nb,vae:mse,36,0.101,1.769,0.0,True
paul15,ae:nb,vae:nb,36,0.0338,0.77,0.0,True
paul15,ae:zinb,scvi:nb,36,0.079,1.414,0.0,True
paul15,ae:zinb,scvi:zinb,36,0.0809,1.411,0.0,True
paul15,ae:zinb,vae:mse,36,0.1146,1.982,0.0,True
paul15,ae:zinb,vae:nb,36,0.0474,1.057,0.0,True
paul15,ae:zinb,vae:zinb,36,0.0422,0.939,0.0,True
paul15,vae:mse,vae:nb,36,-0.0672,-1.167,0.0,True
paul15,vae:mse,vae:zinb,36,-0.0724,-1.255,0.0,True
paul15,ae:nb,vae:zinb,36,0.0286,0.65,1e-06,True
paul15,scvi:nb,vae:mse,36,0.0356,0.535,2e-06,True
paul15,scvi:nb,vae:zinb,36,-0.0368,-0.66,2e-06,True
paul15,scvi:zinb,vae:zinb,36,-0.0387,-0.676,2e-06,True
paul15,scvi:nb,vae:nb,36,-0.0316,-0.568,4e-06,True
paul15,scvi:zinb,vae:nb,36,-0.0335,-0.587,4e-06,True
paul15,scvi:zinb,vae:mse,36,0.0337,0.498,5e-06,True
paul15,ae:mse,vae:zinb,36,-0.0234,-0.485,8e-06,True
paul15,ae:mse,vae:nb,36,-0.0182,-0.378,1e-05,True
paul15,ae:mse,scvi:zinb,36,0.0152,0.254,0.001057,True
paul15,ae:nb,ae:zinb,36,-0.0136,-0.308,0.002784,True
paul15,ae:mse,scvi:nb,36,0.0134,0.228,0.003692,True
paul15,vae:nb,vae:zinb,36,-0.0052,-0.116,0.036269,True
paul15,scvi:nb,scvi:zinb,36,0.0019,0.028,0.191994,False
scvi_pbmc12k,ae:mse,vae:mse,12,0.1885,3.141,0.000488,True
scvi_pbmc12k,ae:mse,vae:nb,12,0.0397,0.695,0.000488,True
scvi_pbmc12k,ae:nb,vae:mse,12,0.1473,2.696,0.000488,True
scvi_pbmc12k,vae:mse,vae:nb,12,-0.1488,-2.586,0.000488,True
scvi_pbmc12k,ae:mse,scvi:nb,12,0.1252,1.121,0.003418,True
scvi_pbmc12k,ae:mse,ae:nb,12,0.0412,0.758,0.016113,True
scvi_pbmc12k,ae:nb,scvi:nb,12,0.084,0.771,0.020996,True
scvi_pbmc12k,scvi:nb,vae:nb,12,-0.0854,-0.774,0.03418,True
scvi_pbmc12k,scvi:nb,vae:mse,12,0.0633,0.566,0.17627,False
scvi_pbmc12k,ae:nb,vae:nb,12,-0.0014,-0.028,0.969727,False
