dataset,model_loss,mean_epochs,max_epochs,min_epochs,pct_early_stop
aifi_immune_full,scvi:nb,30.0,30,30,100.0
paul15,ae:mse,98.63888888888889,100,90,22.22222222222222
paul15,ae:nb,100.0,100,100,0.0
paul15,ae:zinb,99.44444444444444,100,80,2.7777777777777777
paul15,scvi:nb,100.0,100,100,0.0
paul15,scvi:zinb,100.0,100,100,0.0
paul15,vae:mse,47.05555555555556,69,26,100.0
paul15,vae:nb,99.38888888888889,100,78,2.7777777777777777
paul15,vae:zinb,100.0,100,100,0.0
scvi_pbmc12k,ae:mse,60.0,60,60,100.0
scvi_pbmc12k,ae:nb,60.0,60,60,100.0
scvi_pbmc12k,scvi:nb,60.0,60,60,100.0
scvi_pbmc12k,vae:mse,34.833333333333336,60,21,100.0
scvi_pbmc12k,vae:nb,60.0,60,60,100.0
ts1_all_cells,ae:nb,30.75,34,27,100.0
ts1_all_cells,scvi:nb,80.0,80,80,100.0
ts2_lung,scvi:nb,30.0,30,30,100.0
