dataset,model_loss,cpu_mb_mean,cpu_mb_max,gpu_mb_mean,gpu_mb_max
aifi_immune_full,scvi:nb,,,,
paul15,ae:mse,2.1803381178114147,2.224802017211914,172.019287109375,172.12548828125
paul15,ae:nb,2.1737150881025524,2.231578826904297,193.831298828125,193.9375
paul15,ae:zinb,2.163213358985053,2.191817283630371,160.54484049479166,221.6484375
paul15,scvi:nb,,,,
paul15,scvi:zinb,,,,
paul15,vae:mse,2.1023798518710666,2.126380920410156,34.6075439453125,34.91552734375
paul15,vae:nb,2.1898557345072427,2.220770835876465,56.4195556640625,56.7275390625
paul15,vae:zinb,2.1935155391693115,2.230440139770508,84.2476806640625,84.5556640625
scvi_pbmc12k,ae:mse,2.0932228565216064,2.155475616455078,81.91666666666667,81.951171875
scvi_pbmc12k,ae:nb,2.106734116872152,2.206845283508301,56.308430989583336,56.3515625
scvi_pbmc12k,scvi:nb,,,,
scvi_pbmc12k,vae:mse,2.120142936706543,2.1608829498291016,81.95963541666667,82.0458984375
scvi_pbmc12k,vae:nb,2.1193124453226724,2.1545448303222656,56.375895182291664,56.5009765625
ts1_all_cells,ae:nb,,,,
ts1_all_cells,scvi:nb,,,,
ts2_lung,scvi:nb,,,,
