log_file,line,match
slurm_aifi_onboard_1562558.err,1,Killed
slurm_aifi_onboard_1562558.err,2,[2026-04-01T16:33:04.254] error: Detected 1 oom_kill event in StepId=1562558.batch. Some of the step tasks have been OOM Killed.
slurm_phase3_full_sweep_1561813.err,464,[2026-03-31T00:53:35.272] error: Detected 1 oom_kill event in StepId=1561813.0. Some of the step tasks have been OOM Killed.
slurm_phase3_full_sweep_1561813.err,465,srun: error: tg097: task 0: Out Of Memory
slurm_phase3_k04_retry_1561777.out,981,2026-03-30 21:15:26 | experiment | ERROR |   FAILED: dataset=splatter_k04 model=vae loss=nb d=16 seed=42 error=Input X contains NaN.
slurm_phase3_k04_retry_1561777.out,983,Traceback (most recent call last):
slurm_phase3_k04_retry_1561777.out,1030,2026-03-30 21:15:27 | experiment | ERROR |   FAILED: dataset=splatter_k04 model=vae loss=nb d=16 seed=43 error=Input X contains NaN.
slurm_phase3_k04_retry_1561777.out,1032,Traceback (most recent call last):
slurm_phase4_aifi_reduced_1563147.err,1,"/var/tmp/slurmd_spool/job1563147/slurm_script: line 88: 1818336 Killed                  python scripts/run_experiment.py --config ""${SCAE_CONFIG}"" --device auto --output ""${SCAE_RESULTS_DIR}/phase4_ai"
slurm_phase4_aifi_reduced_1563147.err,3,[2026-04-03T00:48:41.671] error: Detected 1 oom_kill event in StepId=1563147.batch. Some of the step tasks have been OOM Killed.
slurm_phase4_aifi_reduced_1563286.out,35,Traceback (most recent call last):
slurm_phase4_ts1_pilot_1562080.out,58,"2026-03-31 15:14:47 | experiment | ERROR |   FAILED: dataset=ts1_all_cells model=scvi loss=nb d=8 seed=42 error=To copy an AnnData object in backed mode, pass a filename: `.copy(filename='myfilename.h"
slurm_phase4_ts1_pilot_1562080.out,59,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,174,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,178,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,188,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,198,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,212,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,224,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,260,2026-03-29 11:28:51 | experiment | ERROR |   FAILED: Pin memory thread exited unexpectedly
slurm_sc_ae_exp_1560975.out,261,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,282,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,296,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,299,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,334,2026-03-29 11:28:51 | experiment | ERROR |   FAILED: Pin memory thread exited unexpectedly
slurm_sc_ae_exp_1560975.out,335,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,356,2026-03-29 11:28:51 | experiment | ERROR |   FAILED: [Errno 24] Too many open files
slurm_sc_ae_exp_1560975.out,357,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,382,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,393,2026-03-29 11:28:51 | experiment | ERROR |   FAILED: [Errno 24] Too many open files
slurm_sc_ae_exp_1560975.out,394,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,429,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,440,2026-03-29 11:28:52 | experiment | ERROR |   FAILED: [Errno 24] Too many open files
slurm_sc_ae_exp_1560975.out,441,Traceback (most recent call last):
slurm_sc_ae_exp_1560975.out,475,Traceback (most recent call last):
