dataset,model_loss,latent_dim,mean_gap
paul15,ae:mse,2,-0.012008054716392028
paul15,ae:mse,4,-0.00979637655728612
paul15,ae:mse,6,-0.00930798766959425
paul15,ae:mse,8,-0.009439433523441268
paul15,ae:mse,10,-0.00946197747019765
paul15,ae:mse,12,-0.009446436232262897
paul15,ae:mse,16,-0.009470118125570859
paul15,ae:mse,20,-0.009304935096675515
paul15,ae:mse,24,-0.009563211192432641
paul15,ae:mse,32,-0.009553261073954378
paul15,ae:mse,48,-0.009553083060570752
paul15,ae:mse,64,-0.009480435332972492
paul15,ae:nb,2,1328.529104357456
paul15,ae:nb,4,1331.0806669045571
paul15,ae:nb,6,1339.2528511334542
paul15,ae:nb,8,1332.380227937221
paul15,ae:nb,10,1335.2713386158075
paul15,ae:nb,12,1334.7919930154878
paul15,ae:nb,16,1337.7690098041141
paul15,ae:nb,20,1338.9905934593617
paul15,ae:nb,24,1338.1407497517937
paul15,ae:nb,32,1338.1990376838253
paul15,ae:nb,48,1334.3347951764733
paul15,ae:nb,64,1333.3062500541755
paul15,ae:zinb,2,1325.6635260293044
paul15,ae:zinb,4,1324.0681727061342
paul15,ae:zinb,6,1330.026599938689
paul15,ae:zinb,8,1331.8389407397772
paul15,ae:zinb,10,1330.2655985062083
paul15,ae:zinb,12,1331.7257335784236
paul15,ae:zinb,16,1330.814674671171
paul15,ae:zinb,20,1334.9818093540905
paul15,ae:zinb,24,1331.9151868608408
paul15,ae:zinb,32,1334.1550521754518
paul15,ae:zinb,48,1333.4881098105213
paul15,ae:zinb,64,1333.4141842840065
paul15,vae:mse,2,-0.014653684164287103
paul15,vae:mse,4,-0.014081077115730737
paul15,vae:mse,6,-0.014594298797649322
paul15,vae:mse,8,-0.014746200106810603
paul15,vae:mse,10,-0.015437088024339666
paul15,vae:mse,12,-0.015387445069640257
paul15,vae:mse,16,-0.014146516029069134
paul15,vae:mse,20,-0.015426922776032415
paul15,vae:mse,24,-0.015506493521260692
paul15,vae:mse,32,-0.014422476000547099
paul15,vae:mse,48,-0.014133273972987581
paul15,vae:mse,64,-0.013590357679150511
paul15,vae:nb,2,1351.7202007937926
paul15,vae:nb,4,1330.433499444244
paul15,vae:nb,6,1334.636537301744
paul15,vae:nb,8,1329.1576500368353
paul15,vae:nb,10,1331.437997519679
paul15,vae:nb,12,1329.7325040522658
paul15,vae:nb,16,1332.9455588566223
paul15,vae:nb,20,1330.863827190047
paul15,vae:nb,24,1331.46138942722
paul15,vae:nb,32,1331.997237540936
paul15,vae:nb,48,1334.0999527877793
paul15,vae:nb,64,1332.7202835455628
paul15,vae:zinb,2,1333.5910278194117
paul15,vae:zinb,4,1329.5113340943724
paul15,vae:zinb,6,1330.541608348216
paul15,vae:zinb,8,1330.554672985723
paul15,vae:zinb,10,1329.7444498358482
paul15,vae:zinb,12,1329.9030401390842
paul15,vae:zinb,16,1331.2911843861996
paul15,vae:zinb,20,1330.7387325602865
paul15,vae:zinb,24,1330.3397392813247
paul15,vae:zinb,32,1330.8063920031102
paul15,vae:zinb,48,1331.6988752877319
paul15,vae:zinb,64,1331.4964318817645
scvi_pbmc12k,ae:mse,2,-0.0003234376949106943
scvi_pbmc12k,ae:mse,4,-0.00022446149781510383
scvi_pbmc12k,ae:mse,8,-0.0002400006623543005
scvi_pbmc12k,ae:mse,16,-0.00019110229683474977
scvi_pbmc12k,ae:mse,24,-0.0002141142010788355
scvi_pbmc12k,ae:mse,32,-0.00013378035087605045
scvi_pbmc12k,ae:nb,2,676.5665896235405
scvi_pbmc12k,ae:nb,4,671.3645347264953
scvi_pbmc12k,ae:nb,8,670.3886874404
scvi_pbmc12k,ae:nb,16,670.1634196381801
scvi_pbmc12k,ae:nb,24,670.6028734681828
scvi_pbmc12k,ae:nb,32,668.6263773804958
scvi_pbmc12k,vae:mse,2,0.001047304041491115
scvi_pbmc12k,vae:mse,4,0.0010139040767003504
scvi_pbmc12k,vae:mse,8,0.0010148085983124056
scvi_pbmc12k,vae:mse,16,0.001059769391019344
scvi_pbmc12k,vae:mse,24,0.0011393702755976287
scvi_pbmc12k,vae:mse,32,0.0009872056947737573
scvi_pbmc12k,vae:nb,2,680.9053950575465
scvi_pbmc12k,vae:nb,4,677.9555256679791
scvi_pbmc12k,vae:nb,8,677.8549483923787
scvi_pbmc12k,vae:nb,16,677.9002456296176
scvi_pbmc12k,vae:nb,24,677.6623624028939
scvi_pbmc12k,vae:nb,32,678.1429991946804
ts1_all_cells,ae:nb,8,390.50863394514505
ts1_all_cells,ae:nb,16,394.6898798083101
ts1_all_cells,ae:nb,24,388.6982187475303
ts1_all_cells,ae:nb,32,391.74134795424544
