dataset,model_type,loss_type,latent_dim,mean_recon,mean_val
aifi_immune_full,scvi,nb,4,411.1045227050781,
aifi_immune_full,scvi,nb,6,408.420654296875,
aifi_immune_full,scvi,nb,8,405.8837585449219,
aifi_immune_full,scvi,nb,10,402.9953002929688,
aifi_immune_full,scvi,nb,12,401.7992858886719,
aifi_immune_full,scvi,nb,16,397.2705993652344,
aifi_immune_full,scvi,nb,24,392.2877655029297,
aifi_immune_full,scvi,nb,32,387.8069610595703,
paul15,ae,nb,2,0.6546938864011613,1329.183798243857
paul15,ae,nb,4,0.653216237040812,1331.733883141598
paul15,ae,nb,6,0.6568932969200451,1339.9097444303743
paul15,ae,nb,8,0.6543261588565886,1333.0345540960773
paul15,ae,nb,10,0.6550631210189745,1335.9264017368266
paul15,ae,nb,12,0.6554092865287166,1335.4474023020166
paul15,ae,nb,16,0.6571787940713513,1338.4261885981857
paul15,ae,nb,20,0.6577821857181079,1339.6483756450798
paul15,ae,nb,24,0.6576441963804802,1338.7983939481744
paul15,ae,nb,32,0.6566431614796612,1338.855680845305
paul15,ae,nb,48,0.6548172212200142,1334.9896123976935
paul15,ae,nb,64,0.6545923532001555,1333.9608424073756
paul15,ae,zinb,2,0.6509755362957825,1326.3145015656003
paul15,ae,zinb,4,0.6493913189249889,1324.7175640250591
paul15,ae,zinb,6,0.6526027081650255,1330.679202646854
paul15,ae,zinb,8,0.6529467265975636,1332.4918874663747
paul15,ae,zinb,10,0.6528315473534394,1330.918430053562
paul15,ae,zinb,12,0.6532014378406772,1332.3789350162642
paul15,ae,zinb,16,0.6531467597854298,1331.4678214309563
paul15,ae,zinb,20,0.6550675358382191,1335.6368768899285
paul15,ae,zinb,24,0.6538535144739536,1332.569040375315
paul15,ae,zinb,32,0.6549208647456651,1334.8099730401975
paul15,ae,zinb,48,0.6544537077747713,1334.142563518296
paul15,ae,zinb,64,0.65393303704058,1334.068117321047
paul15,scvi,nb,2,1262.5048421223958,
paul15,scvi,nb,4,1256.155517578125,
paul15,scvi,nb,6,1254.0667317708333,
paul15,scvi,nb,8,1253.4163411458333,
paul15,scvi,nb,10,1252.3374430338542,
paul15,scvi,nb,12,1252.1643880208333,
paul15,scvi,nb,16,1251.4205322265625,
paul15,scvi,nb,20,1251.4276123046875,
paul15,scvi,nb,24,1251.3092447916667,
paul15,scvi,nb,32,1251.6034342447917,
paul15,scvi,nb,48,1251.9282633463542,
paul15,scvi,nb,64,1252.4071858723958,
paul15,scvi,zinb,2,1261.3479817708333,
paul15,scvi,zinb,4,1255.6512858072917,
paul15,scvi,zinb,6,1254.1006266276042,
paul15,scvi,zinb,8,1253.1551106770833,
paul15,scvi,zinb,10,1252.2246907552083,
paul15,scvi,zinb,12,1252.0954182942708,
paul15,scvi,zinb,16,1251.8578694661458,
paul15,scvi,zinb,20,1251.7941080729167,
paul15,scvi,zinb,24,1251.9845784505208,
paul15,scvi,zinb,32,1251.35009765625,
paul15,scvi,zinb,48,1251.7458902994792,
paul15,scvi,zinb,64,1252.2925618489583,
paul15,vae,nb,2,0.6617031095956563,1352.3819039033883
paul15,vae,nb,4,0.6499739942096528,1331.0834734384537
paul15,vae,nb,6,0.6506977207203634,1335.2872350224645
paul15,vae,nb,8,0.6476987891435915,1329.8053488259786
paul15,vae,nb,10,0.6493790387670636,1332.0873765584458
paul15,vae,nb,12,0.6488856355203668,1330.3813896877862
paul15,vae,nb,16,0.6497931112882127,1333.5953519679106
paul15,vae,nb,20,0.6493985842872453,1331.5132257743342
paul15,vae,nb,24,0.6493046475854113,1332.1106940748052
paul15,vae,nb,32,0.6483556760682,1332.6455932170045
paul15,vae,nb,48,0.6498883270518684,1334.7498411148313
paul15,vae,nb,64,0.6490870605021606,1333.3693706060649
paul15,vae,zinb,2,0.6519544045275966,1334.2429822239394
paul15,vae,zinb,4,0.6483997535938454,1330.1597338479662
paul15,vae,zinb,6,0.6489159847644951,1331.1905243329804
paul15,vae,zinb,8,0.6484502257008256,1331.2031232114239
paul15,vae,zinb,10,0.6477719153822269,1330.3922217512306
paul15,vae,zinb,12,0.6477838876919869,1330.5508240267761
paul15,vae,zinb,16,0.6482128457999783,1331.9393972319997
paul15,vae,zinb,20,0.6482134879144849,1331.386946048201
paul15,vae,zinb,24,0.6477672171680046,1330.9875064984928
paul15,vae,zinb,32,0.6483112661684244,1331.4547032692785
paul15,vae,zinb,48,0.648288805770059,1332.347164093502
paul15,vae,zinb,64,0.6482892553884905,1332.1447211371528
scvi_pbmc12k,ae,nb,2,0.34147587965387816,676.9080655031944
scvi_pbmc12k,ae,nb,4,0.33827596026673923,671.7028106867621
scvi_pbmc12k,ae,nb,8,0.3377934842556093,670.7264809246556
scvi_pbmc12k,ae,nb,16,0.3375756573786429,670.5009952955588
scvi_pbmc12k,ae,nb,24,0.3379058861130968,670.940779354296
