dataset,model_loss,latent_dim,mean_cv,std_cv
aifi_immune_full,scvi:nb,4,0.0001942066366804,
aifi_immune_full,scvi:nb,6,0.0001990766924912,
aifi_immune_full,scvi:nb,8,0.0001992357503915,9.125633881168772e-08
aifi_immune_full,scvi:nb,10,0.0001988638578819,
aifi_immune_full,scvi:nb,24,0.0001087550225581,
aifi_immune_full,scvi:nb,32,0.0001278553691107,
paul15,ae:mse,2,0.002949597729151567,0.00024712068042260734
paul15,ae:mse,4,0.0023619331230148332,0.000345043112264305
paul15,ae:mse,6,0.0018374359077557335,0.00024149337337553601
paul15,ae:mse,8,0.0018714497837129332,0.0004217683543712955
paul15,ae:mse,10,0.002016968541626033,0.0008009947383307582
paul15,ae:mse,12,0.0017157021878781,0.00038067911044355413
paul15,ae:mse,16,0.0015118413517882,0.00012159818102696899
paul15,ae:mse,20,0.0016519814101259333,0.0008137800477614585
paul15,ae:mse,24,0.0021733123396507,0.0005121599426129103
paul15,ae:mse,32,0.0020486844820836667,0.0004014545726330254
paul15,ae:mse,48,0.0017031879744511668,0.0007308378320098516
paul15,ae:mse,64,0.0014601651894451003,0.00040748147855796415
paul15,ae:nb,2,0.003268863230814233,7.271612876953911e-05
paul15,ae:nb,4,0.0031087397276890333,5.661505172551107e-05
paul15,ae:nb,6,0.002989075390382567,0.00018733712552334298
paul15,ae:nb,8,0.0027700700774499994,0.00026848968100600767
paul15,ae:nb,10,0.0027561855493038,0.00031672250935431775
paul15,ae:nb,12,0.0029140922459156998,0.0002250722851483883
paul15,ae:nb,16,0.0029423089648606664,7.057128523218505e-05
paul15,ae:nb,20,0.0028934224887799662,0.0002139429358890046
paul15,ae:nb,24,0.002840723633101467,0.0002756129087067176
paul15,ae:nb,32,0.002810969594259133,0.0002324464868275271
paul15,ae:nb,48,0.0024919510549469333,0.0006230330722433714
paul15,ae:nb,64,0.002418470458773667,0.0007236783791775241
paul15,ae:zinb,2,0.0032440637473194664,8.83674580248457e-06
paul15,ae:zinb,4,0.0030834931129987333,7.65142978808631e-05
paul15,ae:zinb,6,0.003059681323647867,1.8765737209893518e-05
paul15,ae:zinb,8,0.0029190539784333335,0.00010802644623378362
paul15,ae:zinb,10,0.002869113378604533,0.00023047579808571983
paul15,ae:zinb,12,0.0029284174994163004,7.113162045421586e-05
paul15,ae:zinb,16,0.0028486468179112997,0.0002242852753979283
paul15,ae:zinb,20,0.0026157710488578997,0.00026640311052583346
paul15,ae:zinb,24,0.0025787915802655665,0.0006781130684257952
paul15,ae:zinb,32,0.0026077600218527334,0.0002913036845157474
paul15,ae:zinb,48,0.0028000329758525334,0.00035386309871619683
paul15,ae:zinb,64,0.0025658836009233334,0.0005391491434321461
paul15,scvi:nb,2,0.002809932261331567,0.000242692619764577
paul15,scvi:nb,4,0.0018563042154842002,0.001036203664091985
paul15,scvi:nb,6,0.002836422664219167,0.0003082921234195183
paul15,scvi:nb,8,0.002886027697802633,0.0003039561123842681
paul15,scvi:nb,10,0.0029772344401672334,0.0001912907666207264
paul15,scvi:nb,12,0.0029166191240451666,0.0002660706919373327
paul15,scvi:nb,16,0.0029478904711694003,0.0002275256116768007
paul15,scvi:nb,20,0.0028980176157518338,0.0002663940436128499
paul15,scvi:nb,24,0.0029305233709490002,0.00019256733541205483
paul15,scvi:nb,32,0.0029095963032246667,0.00020339648504151672
paul15,scvi:nb,48,0.0030141627283403333,0.00020084528295219215
paul15,scvi:nb,64,0.0027992498573667333,0.0003195949740610256
paul15,scvi:zinb,2,0.002630946518909,0.0004819698186328389
paul15,scvi:zinb,4,0.0029493755200577336,0.0003015897843370244
paul15,scvi:zinb,6,0.0027949222055025,0.0002301590684793703
paul15,scvi:zinb,8,0.0030173421573211332,0.00017695482211450343
paul15,scvi:zinb,10,0.002589145206682433,0.0004880544758657288
paul15,scvi:zinb,12,0.0028972961265512002,0.00020475847932020793
paul15,scvi:zinb,16,0.0028461814402668,0.0002809487038800304
paul15,scvi:zinb,20,0.0028984017682483335,0.00020976958377360886
paul15,scvi:zinb,24,0.0028671748705958668,0.00018410613496024894
paul15,scvi:zinb,32,0.0028420906208322335,0.0002420530741747212
paul15,scvi:zinb,48,0.0029140918128149665,4.8476691727320275e-05
paul15,scvi:zinb,64,0.0028375396816074333,9.092683626133301e-05
paul15,vae:mse,2,0.001716492508188167,0.0006778057439048885
paul15,vae:mse,4,0.0006117715950146001,0.00012906231137632072
paul15,vae:mse,6,0.0008814998599246332,0.0002711514153360306
paul15,vae:mse,8,0.0008469763042862,0.0001120437891042106
paul15,vae:mse,10,0.0010510893345803333,0.00010958386348919651
paul15,vae:mse,12,0.0008299007271131333,0.00011612552588767204
paul15,vae:mse,16,0.0010352817213221668,0.00011654159159294135
paul15,vae:mse,20,0.0009940884885262667,0.00034614233517226176
paul15,vae:mse,24,0.0008522208119581,5.3415937899809706e-05
paul15,vae:mse,32,0.0010743576016967332,0.00022526008271872542
paul15,vae:mse,48,0.0012341140067070667,0.0003656511888620972
paul15,vae:mse,64,0.0009659111450622333,0.00012078808666776217
paul15,vae:nb,2,0.0028854794618161997,0.0008680846453481787
paul15,vae:nb,4,0.003138785383358333,0.00021185379482729536
paul15,vae:nb,6,0.0026834956117133997,0.0009876685691321677
paul15,vae:nb,8,0.003208612395859367,0.00010932048736355726
paul15,vae:nb,10,0.003197295601657367,5.051225483564835e-05
paul15,vae:nb,12,0.003159763325499833,0.00010436964524550915
paul15,vae:nb,16,0.003240797312023,3.158637269599309e-05
paul15,vae:nb,20,0.003140439037454567,8.868972200167778e-05
paul15,vae:nb,24,0.003171475387404933,3.6750911848729694e-05
