dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,956.2404770032946,0.7966437592445387,0.8501470172462539,0.8763076053152389,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2157681691425818,100,2.140279769897461,34.46630859375,,,0.44021302461624146,0.44021302461624146,,0.22134273813830482,0.0034647488626721812,success,41.748642444610596
pbmc3k,ae,mse,2,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,719.3631413723064,0.6499287146229795,0.8284223918575063,0.8694854396381114,False,270,270,,,,not_available,0,270,full,270,270,,none,0.22166929377449884,100,2.1465330123901367,34.46630859375,,,0.48501938581466675,0.48501938581466675,,0.2167348505170257,0.0032644402464973516,success,6.889143466949463
pbmc3k,ae,mse,2,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,1122.5670623518868,0.7700490527987705,0.8506926774102347,0.8701611535199322,False,270,270,,,,not_available,0,270,failed,270,270,,none,0.22036974750183247,100,2.1972455978393555,34.46630859375,,,0.442367285490036,0.442367285490036,,0.22031812767187756,,success,7.140558958053589
pbmc3k,ae,mse,4,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,419.91067636739666,0.7431605885473933,0.8693440769013288,0.8863132598247102,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21420346432261997,100,2.2289838790893555,34.47119140625,,,0.4855056703090668,0.4855056703090668,,0.21828479689580424,0.0033089647866500938,success,7.227187156677246
pbmc3k,ae,mse,4,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,364.21504131899775,0.7982903196973897,0.8490528696635566,0.8753435114503817,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21850479852270197,100,2.2327823638916016,34.47119140625,,,0.3956148624420166,0.3956148624420166,,0.2143096422707593,0.003221002697683713,success,7.6752541065216064
pbmc3k,ae,mse,4,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,278.5618315152699,0.9406303261810783,0.8674554707379135,0.8856234096692112,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2180009169711007,100,2.1938705444335938,34.47119140625,,,0.3605051040649414,0.3605051040649414,,0.21823482082949744,0.003228305806825876,success,6.998070955276489
pbmc3k,ae,mse,6,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,332.45343750879516,0.8460811249299238,0.8709782301385355,0.8877721232683065,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21308215183240395,100,2.199904441833496,34.47607421875,,,0.3855901062488556,0.3855901062488556,,0.21708812415599824,0.0030207000457717565,success,7.17544150352478
pbmc3k,ae,mse,6,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,369.8693543168316,0.826238302967524,0.8377438507209499,0.8816511167656206,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21932396679012864,87,2.1722230911254883,34.47607421875,,,0.39039692282676697,0.39039692282676697,,0.21468658601796187,0.0031390702636122543,success,6.395606994628906
pbmc3k,ae,mse,6,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,290.73728615735524,1.0911521318609743,0.8709103760248799,0.883652813118462,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21757566663953992,100,2.2246265411376953,34.47607421875,,,0.34028977155685425,0.34028977155685425,,0.21745276782247755,0.003246103211404505,success,7.371256589889526
pbmc3k,ae,mse,8,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,298.7620583361509,0.8669045327233531,0.8713570822731128,0.8905315238903025,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21323532395892672,100,2.21968936920166,34.48095703125,,,0.440327525138855,0.440327525138855,,0.21710113011024618,0.003026543315649182,success,7.482424974441528
pbmc3k,ae,mse,8,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,351.04023274778984,0.8070215779251876,0.8442437093582131,0.87477240599378,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2186636988763456,80,2.170391082763672,34.48095703125,,,0.40039852261543274,0.40039852261543274,,0.2144955916537179,0.0032362424669887964,success,5.996366024017334
pbmc3k,ae,mse,8,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,369.2122944735248,0.9663163242087079,0.8624625388747527,0.8848374328527,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21800416906674702,89,2.1733455657958984,34.48095703125,,,0.3796404302120209,0.3796404302120209,,0.2181606273960184,0.0032084649847586378,success,6.2148354053497314
pbmc3k,ae,mse,10,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,221.75732604892335,1.0803331531870741,0.875210630477806,0.894204127791914,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2118496569218459,100,2.230804443359375,34.48583984375,,,0.31306275725364685,0.31306275725364685,,0.21629365748829313,0.003157438779302743,success,7.42705225944519
pbmc3k,ae,mse,10,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,334.96414967418065,0.945360320901981,0.8468136839129206,0.8776986146451795,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2198960139795586,100,2.193746566772461,34.48583984375,,,0.39240169525146484,0.39240169525146484,,0.2152708113193512,0.003150205243980814,success,7.024747848510742
pbmc3k,ae,mse,10,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,399.96063075966055,1.0861782649244622,0.8557647724059938,0.8790048063330507,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21820668114556208,100,2.0946340560913086,34.48583984375,,,0.3395421802997589,0.3395421802997589,,0.21813009061195232,0.0032849330090969843,success,7.23723578453064
pbmc3k,ae,mse,12,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,233.7848064922044,1.032052288618911,0.8733248515691263,0.8927650551314673,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21275765233569674,100,2.22012996673584,34.49072265625,,,0.3340628743171692,0.3340628743171692,,0.21649878543836099,0.0031118340700588033,success,7.133755922317505
pbmc3k,ae,mse,12,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,246.12687069373823,1.0404219978941835,0.8483997738196212,0.8877297144472717,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2181466644560849,90,2.1786441802978516,34.49072265625,,,0.3483227789402008,0.3483227789402008,,0.21360512541400062,0.003062797921588547,success,6.246011734008789
pbmc3k,ae,mse,12,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,240.53945656031857,1.0743486214781146,0.8656856092733956,0.8879898218829516,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21731364406921244,100,2.2175912857055664,34.49072265625,,,0.3321734070777893,0.3321734070777893,,0.21743534715087326,0.0030248217403065743,success,7.087619304656982
pbmc3k,ae,mse,16,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,241.32315345856972,0.7937653210548257,0.8732824427480916,0.8902261803788521,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21356125992757302,88,2.155841827392578,34.50048828125,,,0.45418399572372437,0.45418399572372437,,0.21766216898405993,0.003266059808157171,success,6.38499641418457
pbmc3k,ae,mse,16,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,278.67064777680116,0.8956902600164045,0.8453604749787955,0.8763160870794459,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2181255105468962,100,2.2009544372558594,34.50048828125,,,0.35927197337150574,0.35927197337150574,,0.21391604741414388,0.002991875720554437,success,7.550188302993774
pbmc3k,ae,mse,16,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,254.95748518485044,1.1190680761147525,0.8702290076335878,0.8900819903873339,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21687147087521022,100,2.1585397720336914,34.50048828125,,,0.3008734881877899,0.3008734881877899,,0.21683141743695294,0.0029789868544277667,success,7.597440004348755
pbmc3k,ae,mse,20,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,,269.9197513918895,0.8273444726830523,0.8697116200169636,0.8881877297144473,False,270,270,,,,not_available,0,270,full,270,270,,none,0.21350250685656513,100,2.1932735443115234,34.51025390625,,,0.43473541736602783,0.43473541736602783,,0.21727763877974615,0.0028940306417960726,success,7.228236198425293
