dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
splatter_k08,ae,nb,2,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5211.723209635416,80,2.1672277450561523,112.208984375,0.23556568117238985,0.42744678809985864,0.4195166528224945,0.4195166528224945,0.04805781692266464,2.6208908557891846,0.001828989726805677,success,11.03110933303833
splatter_k08,ae,nb,2,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5238.02607421875,80,2.1496286392211914,112.208984375,0.3658698728060805,0.5532489470884685,0.42816153168678284,0.42816153168678284,0.06162680685520172,2.6171783447265624,0.001907192016073031,success,10.7323739528656
splatter_k08,ae,nb,4,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5200.089192708333,80,2.1430721282958984,112.2138671875,0.5015819044138919,0.6653178560493853,0.35182470083236694,0.35182470083236694,0.3417586088180542,2.615170447031657,0.001854444220703791,success,10.666564702987671
splatter_k08,ae,nb,4,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5220.04765625,80,2.143169403076172,112.2138671875,0.3644662138312857,0.5645310458377487,0.3331962823867798,0.3331962823867798,0.26889050006866455,2.608615271250407,0.0019069217642473488,success,10.847283601760864
splatter_k08,ae,nb,8,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5194.79697265625,80,2.139223098754883,112.2236328125,0.3513335227565397,0.5733947179294332,0.32783010601997375,0.32783010601997375,0.3455664813518524,2.6127542813618976,0.0018487697181575535,success,10.799053192138672
splatter_k08,ae,nb,8,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,failed,480,480,,none,5213.027994791667,80,2.1558351516723633,112.2236328125,0.5189564197190791,0.7015796438338552,0.37710538506507874,0.37710538506507874,0.3752264082431793,2.605603233973185,,success,10.823185682296753
splatter_k08,ae,nb,12,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5194.829459635416,80,2.143505096435547,112.2333984375,0.31995913336506737,0.566752003914369,0.3165852129459381,0.3165852129459381,0.3131674528121948,2.612642288208008,0.001810698490269745,success,10.997555494308472
splatter_k08,ae,nb,12,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5201.960970052083,80,2.145801544189453,112.2333984375,0.35233801523645636,0.5341650691798165,0.2928486168384552,0.2928486168384552,0.33024564385414124,2.599924182891846,0.0018525796969840378,success,11.001336812973022
splatter_k08,ae,nb,16,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5191.483333333334,80,2.143813133239746,112.2431640625,0.32191913098631136,0.5702697221419921,0.31240564584732056,0.31240564584732056,0.3256734311580658,2.6111759185791015,0.0018584935435726304,success,10.997276306152344
splatter_k08,ae,nb,16,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5219.600651041666,80,2.155122756958008,112.2431640625,0.41964309405059697,0.5971644236672153,0.31427255272865295,0.31427255272865295,0.31250494718551636,2.6091081301371255,0.0018258707709266403,success,10.910080194473267
splatter_k08,ae,nb,24,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5193.19541015625,80,2.149869918823242,112.2626953125,0.44797625604155283,0.6744371550221693,0.35308781266212463,0.35308781266212463,0.39094310998916626,2.6119646549224855,0.0018956415568807624,success,10.726081609725952
splatter_k08,ae,nb,24,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5211.268229166667,80,2.1783580780029297,112.2626953125,0.4700133024322757,0.6562019247444348,0.3373459279537201,0.3373459279537201,0.3779851198196411,2.604705079396566,0.001852977739119387,success,10.681604385375977
splatter_k08,ae,nb,32,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5189.73818359375,80,2.1441688537597656,112.2822265625,0.3627157339509313,0.6349567680596991,0.35455405712127686,0.35455405712127686,0.3736875653266907,2.610321807861328,0.0018725261787075848,success,10.780849695205688
splatter_k08,ae,nb,32,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,480,480,full,480,480,,none,5217.3705078125,80,2.138700485229492,112.2822265625,0.3681933954457646,0.5934901793374024,0.3302955627441406,0.3302955627441406,0.3333193361759186,2.6078184763590495,0.0018746833227237284,success,10.809535503387451
splatter_k08,vae,nb,2,8,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-5344.815071614584,False,480,480,full,480,480,,none,5313.45400390625,80,2.1331605911254883,112.21923828125,-0.001279295348461703,-0.0018082112310358318,0.49092477560043335,0.49092477560043335,-0.09102610498666763,2.6701422850290935,0.001740948620893488,success,11.241604566574097
splatter_k08,vae,nb,2,8,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-5380.370833333333,False,480,480,full,480,480,,none,5382.782682291667,80,2.1032752990722656,112.21923828125,0.0008745644981612864,-0.004047775248707271,0.40509310364723206,0.40509310364723206,-0.09427318722009659,2.6875426610310873,0.000838331107690757,success,11.100831747055054
