dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds,_source_csv,_source_mtime,label_source_category,label_trust,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence
ts2_lung,scvi,nb,24,34,65847,6585,test,60606,43,donor_id,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-5883.04248046875,False,6585.0,6585.0,full,6585.0,6585.0,,none,,30,,,0.3737643603710938,0.7250846148212196,0.1820905208587646,0.1820905208587646,0.116701528429985,5813.3876953125,0.0001506196650074,success,217.70579504966736,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/ts2_reduced/job_1565386/results/phase4_ts2_lung_scvi_nb_reduced.csv,1775412116.3840811,provided,ground_truth,True,False,True,False,False,4.0,0.9373327669455233,0.0001077854758477,-0.0001077854758477,0.4285060973581643,full,6585.0,6585.0,cell_type,donor_id,cell_type_ontology_term_id,1.0,cell_type,donor_id,True
ts2_lung,scvi,nb,32,34,65847,6585,test,60606,43,donor_id,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-5895.734375,False,6585.0,6585.0,full,6585.0,6585.0,,none,,30,,,0.3939284057144276,0.7275183905907012,0.1905055791139602,0.1905055791139602,0.1184750497341156,5813.525390625,0.0001510430159974,success,224.31540608406067,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/ts2_reduced/job_1565386/results/phase4_ts2_lung_scvi_nb_reduced.csv,1775412116.3840811,provided,ground_truth,True,False,True,False,False,4.0,0.9373327669455233,0.0020710597746074,-0.0020710597746074,0.4256299575105289,full,6585.0,6585.0,cell_type,donor_id,cell_type_ontology_term_id,1.0,cell_type,donor_id,True
ts2_lung,scvi,nb,8,34,65847,6585,test,60606,43,donor_id,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-5866.81005859375,False,6585.0,6585.0,full,6585.0,6585.0,,none,,30,,,0.4110529397362999,0.719145433101528,0.2460520714521408,0.2460520714521408,0.1208081990480423,5830.53466796875,0.00015137653359,success,272.4706509113312,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/ts2_reduced/job_1565386/results/phase4_ts2_lung_scvi_nb_reduced.csv,1775412116.3840811,provided,ground_truth,True,False,True,False,False,4.0,0.9373327669455233,-0.0046107373200356,0.0046107373200356,0.4862195288276589,full,6585.0,6585.0,cell_type,donor_id,cell_type_ontology_term_id,1.0,cell_type,donor_id,True
ts2_lung,scvi,nb,16,34,65847,6585,test,60606,43,donor_id,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-5868.9033203125,False,6585.0,6585.0,full,6585.0,6585.0,,none,,30,,,0.4171545326545758,0.7263192243535068,0.2046130150556564,0.2046130150556564,0.1056963950395584,5815.35498046875,0.00015118279856,success,218.04480981826785,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/ts2_reduced/job_1565386/results/phase4_ts2_lung_scvi_nb_reduced.csv,1775412116.3840811,provided,ground_truth,True,False,True,False,False,4.0,0.9373327669455233,0.0010788035579025,-0.0010788035579025,0.4268634055063302,full,6585.0,6585.0,cell_type,donor_id,cell_type_ontology_term_id,1.0,cell_type,donor_id,True
aifi_immune_full,scvi,nb,16,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-437.4192504882813,True,15000.0,182173.0,failed,5000.0,182173.0,,none,,30,,,0.3142978012554964,0.6172281675604478,0.090548388659954,0.090548388659954,0.0499375499784946,397.6388854980469,,success,3347.1970841884613,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563287/results/phase4_aifi_scvi_nb_reduced.csv,1775200152.1210244,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.0468140132725238,0.0468140132725238,0.6358095045371595,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
aifi_immune_full,scvi,nb,6,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-426.3802490234375,True,15000.0,182173.0,sampled,5000.0,182173.0,,none,,30,,,0.2827833219341319,0.5972180544046242,0.1755406260490417,0.1755406260490417,0.0855757147073745,408.420654296875,0.0001990766924912,success,3323.17866897583,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563147/results/phase4_aifi_scvi_nb_reduced.csv,1775170006.4577787,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.079541765153408,0.079541765153408,0.6341284102276076,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
aifi_immune_full,scvi,nb,12,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-433.6130065917969,True,15000.0,182173.0,failed,5000.0,182173.0,,none,,30,,,0.3163534608231159,0.6368577340954739,0.1089364886283874,0.1089364886283874,0.0842515677213668,401.7992858886719,,success,3320.8129115104675,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563147/results/phase4_aifi_scvi_nb_reduced.csv,1775170006.4577787,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.0505363307893276,0.0505363307893276,0.6346801729347048,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
aifi_immune_full,scvi,nb,8,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-428.50433349609375,True,15000.0,182173.0,sampled,5000.0,182173.0,,none,,30,,,0.3103679849492919,0.6261897678789394,0.1388613432645797,0.1388613432645797,0.0985523611307144,406.1602783203125,0.0001991712224155,success,3326.643444776535,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563147/results/phase4_aifi_scvi_nb_reduced.csv,1775170006.4577787,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.0635877847671508,0.0635877847671508,0.6330888970025619,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
aifi_immune_full,scvi,nb,10,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-431.1064758300781,True,15000.0,182173.0,sampled,5000.0,182173.0,,none,,30,,,0.3287619638927829,0.6389663983963435,0.1282230764627456,0.1282230764627456,0.0966020599007606,402.9953002929688,0.0001988638578819,success,3382.681006193161,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563147/results/phase4_aifi_scvi_nb_reduced.csv,1775170006.4577787,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.0626089870929718,0.0626089870929718,0.632909120196569,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
aifi_immune_full,scvi,nb,4,29,1821725,182173,test,1236,42,batch_id,cell_type,provided:AIFI_L2,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-424.4710998535156,True,15000.0,182173.0,sampled,5000.0,182173.0,,none,,30,,,0.3415165431753761,0.6716240350709938,0.2349282950162887,0.2349282950162887,0.1093384250998497,411.1045227050781,0.0001942066366804,success,3351.9624552726746,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/aifi_reduced/job_1563147/results/phase4_aifi_scvi_nb_reduced.csv,1775170006.4577787,provided,ground_truth,True,False,True,False,False,36.0,0.9035024888412464,-0.1084829419851303,0.1084829419851303,0.6369602820987488,sampled_shared,15000.0,182173.0,,,,,cell_type,batch_id,False
ts1_all_cells,scvi,nb,4,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-297.4354248046875,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2387640297294938,0.6227474698157006,0.2670044898986816,0.2670044898986816,-0.1350795179605484,285.8822631835937,0.0001970117229936,success,2394.8743348121643,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.1857074201107025,0.1857074201107025,0.2788531071033134,sampled_shared,15000.0,48316.0,,,,,,,False
ts1_all_cells,scvi,nb,6,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-297.4041748046875,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2643031220524316,0.6508247190186043,0.238647311925888,0.238647311925888,-0.0784200429916381,282.175048828125,0.0001985922005205,success,2405.05681848526,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.1522765308618545,0.1522765308618545,0.2478642299119455,sampled_shared,15000.0,48316.0,,,,,,,False
ts1_all_cells,scvi,nb,8,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-297.83331298828125,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2588351122293694,0.6493352156890385,0.2126071006059646,0.2126071006059646,-0.0534018017351627,279.07342529296875,0.0001973385919554,success,2423.771378517151,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.1275544911623001,0.1275544911623001,0.2408846588213332,sampled_shared,15000.0,48316.0,,,,,,,False
ts1_all_cells,scvi,nb,10,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-299.1810913085937,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2703901399451687,0.6592304422141309,0.2041497677564621,0.2041497677564621,-0.0337906442582607,278.1000061035156,0.0001973392383656,success,2395.959995508194,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.1271806508302688,0.1271806508302688,0.2269822142581233,sampled_shared,15000.0,48316.0,,,,,,,False
ts1_all_cells,scvi,nb,12,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-300.4711608886719,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2666423960120172,0.6588312242550679,0.1921008825302124,0.1921008825302124,-0.0201511904597282,276.550048828125,0.0001977493405612,success,2366.008650779724,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.104670725762844,0.104670725762844,0.2247350565901,sampled_shared,15000.0,48316.0,,,,,,,False
ts1_all_cells,scvi,nb,16,177,483151,48316,test,2000,42,donor_id,cell_type,provided:cell_ontology_class,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-303.95758056640625,True,15000.0,48316.0,sampled,5000.0,48316.0,,none,,80,,,0.2601044298155168,0.6561743750802238,0.171314001083374,0.171314001083374,-0.0188735648989677,276.3222961425781,0.0001985161281488,success,2363.486543893814,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/stageB/job_1563149/results/phase4_ts1_stageB_reduced.csv,1775169752.6318345,provided,ground_truth,True,False,True,False,False,15.0,0.9672528975908602,-0.0850901901721954,0.0850901901721954,0.2207796487502778,sampled_shared,15000.0,48316.0,,,,,,,False
ts2_lung,scvi,nb,6,34,65847,6585,test,60606,42,donor_id,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory_from_backed,backed,in_memory_from_backed,,10d3fdb,,,,-5899.39453125,False,6585.0,6585.0,full,6585.0,6585.0,,none,,30,,,0.3834108191233905,0.7245316888840386,0.2647777795791626,0.2647777795791626,0.1574477851390838,5869.140625,0.0001512461702611,success,224.17155361175537,/home/woody/iwbn/iwbn129h/sc_autoencoder_project/phase4/ts2_reduced/job_1563148/results/phase4_ts2_lung_scvi_nb_reduced.csv,1775156531.1285138,provided,ground_truth,True,False,True,False,False,4.0,0.9372005212551908,-0.0122015653178095,0.0122015653178095,0.5043405993020176,full,6585.0,6585.0,cell_type,donor_id,cell_type_ontology_term_id,1.0,cell_type,donor_id,True
