dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
scvi_pbmc12k,ae,nb,2,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,683.3874450123639,60,2.206845283508301,56.2783203125,0.4598815443947299,0.664192803058212,0.4289269745349884,0.4289269745349884,0.3223361670970917,0.3408851231556321,0.0008196369095986607,success,57.372154712677
scvi_pbmc12k,ae,nb,2,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,670.4286859940249,60,2.1710262298583984,56.2783203125,0.5638614524877382,0.6936525200774051,0.457907110452652,0.457907110452652,0.33402013778686523,0.3420666361521243,0.0008013671087024592,success,16.856605052947998
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,677.3458746750222,60,2.0891857147216797,56.283203125,0.5568852786625916,0.6402340356357272,0.4191405475139618,0.4191405475139618,0.302692174911499,0.3382276541447023,0.0008115532372602778,success,16.790811777114868
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,666.059746698502,60,2.1063079833984375,56.283203125,0.6417494524499154,0.6765689845867819,0.41412433981895447,0.41412433981895447,0.308794230222702,0.3383242663887762,0.0007938819890537816,success,17.00299382209778
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,676.5270441737744,60,2.091780662536621,56.29296875,0.64754548408244,0.687076571622951,0.36343759298324585,0.36343759298324585,0.24828940629959106,0.3379976498126188,0.0008141547714899058,success,16.895201206207275
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,664.9259176755369,60,2.0907812118530273,56.29296875,0.6259730108932116,0.6827952994935538,0.3346344232559204,0.3346344232559204,0.2149006575345993,0.33758931869859987,0.000800592977435206,success,16.889718055725098
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,675.6857436739275,60,2.102450370788574,56.3125,0.6411750299915113,0.6967258504464029,0.33767905831336975,0.33767905831336975,0.25536397099494934,0.33738683471091097,0.0008136159010429401,success,16.906877756118774
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,665.3162469171901,60,2.089601516723633,56.3125,0.6442243959527121,0.692007114779016,0.3724789321422577,0.3724789321422577,0.2726247012615204,0.3377644800463749,0.0007959353802892098,success,16.99632453918457
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,675.755567485437,60,2.0821285247802734,56.33203125,0.6493147011813254,0.7138966820189462,0.332891583442688,0.332891583442688,0.28485071659088135,0.3375697316131162,0.0008131307593011017,success,16.73861312866211
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199,1199,full,1199,1199,,none,666.1259912231548,60,2.0854692459106445,56.33203125,0.6338372395361966,0.6831092828304073,0.34873223304748535,0.34873223304748535,0.31079715490341187,0.3382420406130774,0.0008052240931510648,success,16.932117700576782
