dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
splatter_k12,vae,mse,2,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17208863993485768,False,480,480,full,480,480,,none,0.17437317669391633,22,,,0.0035231060965322625,0.014662351629255463,0.34903615713119507,0.34903615713119507,-0.13987821340560913,0.17188065648078918,0.0014972135863363558,success,16.143813133239746
splatter_k12,vae,mse,2,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17308087050914764,False,480,480,full,480,480,,none,0.17275362809499104,60,,,0.006353134907283555,0.004638413670976214,0.3373839259147644,0.3373839259147644,-0.11466073989868164,0.17304855287075044,0.0007248334529832096,success,4.6700286865234375
splatter_k12,vae,mse,4,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17284846901893616,False,480,480,full,480,480,,none,0.1750481069087982,47,,,0.009213160202760251,0.01841418615404075,0.18129242956638336,0.18129242956638336,-0.09340589493513107,0.17259210844834647,0.00028070048343842524,success,3.8934316635131836
splatter_k12,vae,mse,4,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17317400773366293,False,480,480,full,480,480,,none,0.17279807825883228,73,,,-0.004608176796669987,-0.014658846537198109,0.16215376555919647,0.16215376555919647,-0.09020169824361801,0.1731018920739492,0.00031212864729793845,success,5.74480938911438
splatter_k12,vae,mse,8,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17267155051231384,False,480,480,full,480,480,,none,0.1749147097269694,80,,,0.008407710504055262,0.022797843976421605,0.13755130767822266,0.13755130767822266,-0.0682123675942421,0.1725934604803721,0.0003474505793070157,success,6.932560920715332
splatter_k12,vae,mse,8,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.1732177992661794,False,480,480,full,480,480,,none,0.17285928030808767,80,,,0.007346326472397181,0.017667589176137977,0.1639653593301773,0.1639653593301773,-0.09480293095111847,0.1731760730346044,0.0005679668612114388,success,6.836677312850952
splatter_k12,vae,mse,12,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17266914943854014,False,480,480,full,480,480,,none,0.17488004565238952,80,,,0.0026673533616304837,0.006859007320127987,0.0959300622344017,0.0959300622344017,-0.07079599797725677,0.17251718640327454,0.0005440265928009474,success,6.913098573684692
splatter_k12,vae,mse,12,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.1734019050995509,False,480,480,full,480,480,,none,0.17300655742486318,80,,,0.000152058633389705,0.0037904101820443654,0.11915605515241623,0.11915605515241623,-0.06217629089951515,0.17327440083026885,0.0006363930639450494,success,6.92417049407959
splatter_k12,vae,mse,16,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.173468021551768,False,480,480,full,480,480,,none,0.17566310067971547,80,,,0.002848135088667782,0.004246958414992416,0.11603905260562897,0.11603905260562897,-0.06354022026062012,0.17337543964385987,0.0004229481886821523,success,7.375299453735352
splatter_k12,vae,mse,16,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.1768927256266276,False,480,480,full,480,480,,none,0.17659110923608143,80,,,-0.0021510213563262913,-0.008576346244556096,0.11221510916948318,0.11221510916948318,-0.06353200972080231,0.17677765786647798,0.0005200929575349701,success,7.469535827636719
splatter_k12,vae,mse,24,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.1778814673423767,False,480,480,full,480,480,,none,0.18001265625158946,80,,,0.0023078188892906378,0.004486121046235333,0.1821635216474533,0.1821635216474533,-0.08701084554195404,0.17780571480592092,0.00035026094664618903,success,7.848929405212402
splatter_k12,vae,mse,24,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.17555195093154907,False,480,480,full,480,480,,none,0.1752219319343567,80,,,0.000579349295380743,0.003113888640979537,0.09630894660949707,0.09630894660949707,-0.05816216394305229,0.17542612552642822,0.0004442704645563125,success,7.387263298034668
splatter_k12,vae,mse,32,12,4800,480,test,2000,42,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.18494903643925983,False,480,480,full,480,480,,none,0.1869243452946345,80,,,-0.004278590105263442,-0.0061897612337755755,0.13014788925647736,0.13014788925647736,-0.07007546722888947,0.18482673168182373,0.000489094907850365,success,7.59721565246582
splatter_k12,vae,mse,32,12,4800,480,test,2000,43,batch,cell_type,provided:cell_type,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.18035267492135365,False,480,480,full,480,480,,none,0.1800385614236196,80,,,0.0003925263829303153,-0.0010647606755921453,0.12583202123641968,0.12583202123641968,-0.066705122590065,0.18021886845429738,0.00040681261259744916,success,7.442335605621338
